5AP02029,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        10,                    ,2023/07/24
5AP02032,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        24,                    ,2023/07/25
5AP02036,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         3,                    ,2023/08/04
5AP02040,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         4,                    ,2023/08/08
5AP02041,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         4,                    ,2023/08/10
5AP02042,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         9,                    ,2023/08/14
5AP02045,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2023/08/18
5AP02050,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         3,                    ,2023/08/28
5AP02070,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         6,                    ,2023/10/09
5AP02083,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         1,                    ,2023/11/01
5AP02085,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         1,                    ,2023/11/09
5AP02098,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         3,                    ,2023/12/12
5AP01996,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         8,                    ,2023/05/11
5AP01999,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         1,                    ,2023/05/19
5AP02004,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2023/05/30
5AP02019,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         3,                    ,2023/06/29
5AP02021,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2023/07/11
5AP02027,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         3,                    ,2023/07/15
5AP02035,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2023/08/01
